Instructions:
  1. Load this file into Excel(tm)
  2. Select line 6
  3. Select Data->Filter
  4. Filter on columns L0 and to the right to explore assignments for hierarchical modules
NAME,LUT,PINS,BIN,L0
u1,1,4,FB1.uA,u1
u2,1,4,FB1.uB,u2
